Index,Tipo,Quantita,Rumore,Neuroni,Matrice,Epoche,Output,FID_Totale,FID_Relativo,Precisione,Richiamo,Densita,Copertura,Batch
53,2persone,20.0,False,40,greg,3000,64,2.960237153868027,3.7709099398536594,0.078125,0.0,0.034375,0.01,
54,2persone,20.0,False,50,greg,3000,64,2.617853176198027,3.3454860026805533,0.0,0.0,0.0,0.0,
55,2persone,20.0,False,10,greg,3000,64,3.507651670453742,3.376846840400249,0.0,0.2275,0.0,0.0,
56,2persone,20.0,False,20,greg,3000,64,4.267552555048254,4.202117292516931,0.0,0.015,0.0,0.0,
57,2persone,20.0,False,30,greg,3000,64,4.308820053872127,4.2563987266461645,0.0,0.0575,0.0,0.0,
58,2persone,20.0,False,40,greg,3000,64,4.042696718197221,3.973607803596034,0.0,0.0675,0.0,0.0,
59,2persone,20.0,False,50,greg,3000,64,3.968890346368239,3.894009135948537,0.0,0.0,0.0,0.0,
60,2persone,20.0,False,10,greg,3000,64,3.61460525145875,4.090627451918908,0.0,0.0,0.0,0.0,
61,2persone,20.0,False,20,greg,3000,64,4.087360587639832,4.576956775325024,0.0,0.0025,0.0,0.0,
62,2persone,20.0,False,30,greg,3000,64,4.280989288276598,4.783110396111871,0.0,0.1175,0.0,0.0,
63,2persone,20.0,False,40,greg,3000,64,4.026702689324626,4.4896707713272805,0.0,0.0,0.0,0.0,
64,2persone,20.0,False,50,greg,3000,64,3.689214858649952,4.141401687556126,0.0,0.0,0.0,0.0,
65,2persone,20.0,False,10,greg,3000,64,3.013605455358305,3.998717721176335,0.0,0.0,0.0,0.0,
66,2persone,20.0,False,20,greg,3000,64,3.6519089623951215,4.704755376169472,0.0,0.0,0.0,0.0,
67,2persone,20.0,False,30,greg,3000,64,3.521487461764558,4.550892871902658,0.0,0.2175,0.0,0.0,
68,2persone,20.0,False,40,greg,3000,64,3.409894651453531,4.422381400424315,0.0,0.0025,0.0,0.0,
69,2persone,20.0,False,50,greg,3000,64,2.64976650062892,3.554327881846315,0.0,0.0,0.0,0.0,
70,2persone,20.0,False,10,greg,3000,64,2.4220651986429385,3.558810207481552,0.0,0.2525,0.0,0.0,
71,2persone,20.0,False,20,greg,3000,64,3.700134129437936,5.092298190854,0.0,0.0,0.0,0.0,
72,2persone,20.0,False,30,greg,3000,64,3.407849477888992,4.756473789401231,0.0,0.2,0.0,0.0,
73,2persone,20.0,False,40,greg,3000,64,2.988506983603673,4.210436844326047,0.0,0.0325,0.0,0.0,
74,2persone,20.0,False,50,greg,3000,64,2.6713388710407457,3.788469907959157,0.0,0.0,0.0,0.0,
75,10persone,20.0,False,10,greg,3000,64,4.084223673352705,-100.0,0.125,0.03,0.025,0.005,
76,10persone,20.0,False,20,greg,3000,64,4.235410500753547,-100.0,0.0,0.055,0.0,0.0,
77,10persone,20.0,False,30,greg,3000,64,4.088907033057288,-100.0,0.015625,0.0725,0.003125,0.0025,
78,10persone,20.0,False,40,greg,3000,64,3.894973458194716,-100.0,0.0,0.0,0.0,0.0,
